String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,Suffix
"Vanreusel, A.; Cosson-Sarradin, N.; Gooday, A.; Paterson, G.; Galéron, J.; Sibuet, M.; Vincx, M. (2001). Evidence for episodic recruitment in a small opheliid polychaete species from the abyssal NE Atlantic. <em>Progress in Oceanography.</em> 50(1-4): 285-301.","Vanreusel, A.; Cosson-Sarradin, N.; Gooday, A.; Paterson, G.; Galéron, J.; Sibuet, M.; Vincx, M.",2001,Evidence for episodic recruitment in a small opheliid polychaete species from the abyssal NE Atlantic,,Progress in Oceanography,,,,,,,50(1-4): 285-301
"Millar, R. H. (1975). Ascidians from the Indo-West-Pacific region in the zoological museum, Copenhagen (Tunicata, Ascidiacea). <em>Steenstrupia.</em> 3(20): 205-336.","Millar, R. H.",1975,"Ascidians from the Indo-West-Pacific region in the zoological museum, Copenhagen (Tunicata, Ascidiacea)",,Steenstrupia,,,,,,,3(20): 205-336
"Ahn, K.; Maruyama, M. (2000). Paramblopusa eoa , a New Intertidal Species (Coleoptera: Staphylinidae: Aleocharinae) from Kuril Islands. The Coleopterists Bulletin. 54(3): 359-364.","Ahn, K.; Maruyama, M.",2000,"Paramblopusa eoa , a New Intertidal Species (Coleoptera: Staphylinidae: Aleocharinae) from Kuril Islands",,The Coleopterists Bulletin,,,,,,,54(3): 359-364
"Cairns, S.D.; Bayer, F.M. (2009). A generic revision and phylogenetic analysis of the Primnoidae (Cnidaria:Octocorallia). <em>Smithsonian Contributions to Zoology, 629. Smithsonian Institution Press: Washington DC (USA).</em> 79 pp.","Cairns, S.D.; Bayer, F.M.",2009,A generic revision and phylogenetic analysis of the Primnoidae (Cnidaria:Octocorallia),,"Smithsonian Contributions to Zoology, 629. Smithsonian Institution Press: Washington DC (USA)",,,,,,,79 pp.
"Stewart, A. C.; Nicholas, W. L. (1987). Acanthomicrolaimus jenseni n.g., n.sp. (Nematoda: Microlaimidae) from marine sand. <em>Cah. Biol. Mar.</em> 28(1): 91-96.","Stewart, A. C.; Nicholas, W. L.",1987,"Acanthomicrolaimus jenseni n.g., n.sp. (Nematoda: Microlaimidae) from marine sand",,Cah. Biol. Mar.,,,,,,,28(1): 91-96
"Thomas, P.A. (1968). Studies on Indian Sponges-III. Two species of silicious sponges of the famliy Ophlitaspongiidae de Laubenfels (Class: Demospongiae Sollas, Order: Poecilosclerida Topsent). <em>Journal of the Marine Biological Association of India.</em> 10(2): 255-259.","Thomas, P.A.",1968,"Studies on Indian Sponges-III. Two species of silicious sponges of the famliy Ophlitaspongiidae de Laubenfels (Class: Demospongiae Sollas, Order: Poecilosclerida Topsent)",,Journal of the Marine Biological Association of India,,,,,,,10(2): 255-259
"Moosa, M.K. (1985). Stomatopod Crustacea. <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 367-414.","Moosa, M.K.",1985,Stomatopod Crustacea,,"in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,133: 367-414
"Améziane, N. (1997). Echinodermata Crinoidea: Les Pentacrines récoltées lors de la campagne KARUBAR en Indonésie. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: pp. 627-667.","Améziane, N.",1997,Echinodermata Crinoidea: Les Pentacrines récoltées lors de la campagne KARUBAR en Indonésie,,"in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,172: pp. 627-667
"Pickering, C. & J.D. Dana. (1838). Description of a crustaceous animal, belonging to the Caligus, - C. americanus. <em>American Journal of Science.</em> 34(2):225-266, pls. 3-5.","Pickering, C. & J.D. Dana",1838,"Description of a crustaceous animal, belonging to the Caligus, - C. americanus.",,American Journal of Science,,,,,,,"34(2):225-266, pls. 3-5."
"Warén, A.; Bouchet, P. (1991). Mollusca Gastropoda: Systematic position and revision of <i>Haloceras</i> Dall, 1889 (Caenogastropoda, Haloceratidae fam. nov.). <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 7. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 150: 111-161.","Warén, A.; Bouchet, P.",1991,"Mollusca Gastropoda: Systematic position and revision of <i>Haloceras</i> Dall, 1889 (Caenogastropoda, Haloceratidae fam. nov.)",,"in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 7. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,150: 111-161
"Vicente, C. S.; Frutos, I.; Cartes, J. E. (2014). <em>Petalophthalmus papilloculatus </em>sp. nov.<em> </em>(Crustacea: Mysida: Petalophthalmidae), a new bathyal suprabenthic mysid from the Galicia Bank (NE Atlantic Ocean). <em>Zootaxa.</em> 3765(1): 77.","Vicente, C. S.; Frutos, I.; Cartes, J. E.",2014,"<em>Petalophthalmus papilloculatus </em>sp. nov.<em> </em>(Crustacea: Mysida: Petalophthalmidae), a new bathyal suprabenthic mysid from the Galicia Bank (NE Atlantic Ocean)",,Zootaxa,,,,,,,3765(1): 77
"Decraemer, W. (1985). Revision and phylogenetic systematics of the Desmoscolecida. <em>Hydrobiologia.</em> 120, 259-283.","Decraemer, W.",1985,Revision and phylogenetic systematics of the Desmoscolecida,,Hydrobiologia,,,,,,,"120, 259-283"
"Beneden, P.J. van. (1854). Notice sur un nouveau genre de Siphonostome (genre Congéricole) habitant les branchies du Congre. <em>Bulletin de l'Académie Royale de Belgique.</em> 21(2):583-589, pl. 1.","Beneden, P.J. van",1854,Notice sur un nouveau genre de Siphonostome (genre Congéricole) habitant les branchies du Congre.,,Bulletin de l'Académie Royale de Belgique,,,,,,,"21(2):583-589, pl. 1."
"Vanreusel, A.; Clough, L.; Jacobsen, K.; Ambrose, W.; Jutamas Jivaluk; Ryheul, V.; Herman, R.; Vincx, M. (2000). Meiobenthos of the central Arctic Ocean with special emphasis on the nematode community structure. <em>Deep Sea Research Part I: Oceanographic Research Papers.</em> 47(10): 1855-1879.","Vanreusel, A.; Clough, L.; Jacobsen, K.; Ambrose, W.; Jutamas Jivaluk; Ryheul, V.; Herman, R.; Vincx, M.",2000,Meiobenthos of the central Arctic Ocean with special emphasis on the nematode community structure,,Deep Sea Research Part I: Oceanographic Research Papers,,,,,,,47(10): 1855-1879
"Calles, A.; Vincx, M.; Cornejo, P.; Calderón, J. (2005). Patterns of meiofauna (especially nematodes) in physical disturbed Ecuadorian sandy beaches. <em>Meiofauna Marina.</em> 14:121-129.","Calles, A.; Vincx, M.; Cornejo, P.; Calderón, J.",2005,Patterns of meiofauna (especially nematodes) in physical disturbed Ecuadorian sandy beaches,,Meiofauna Marina,,,,,,,14:121-129
"Sars, G.O. (1879). Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876. <em>Report of the Commissioner 1877.</em> 681-692.","Sars, G.O.",1879,Extracts from Prof. G.O. Sars's report on the Norwegian Atlantic Expedition of 1876,,Report of the Commissioner 1877,,,,,,,681-692
"Tortonese, E. (1949). Echinodermi della Somalia Italiana. <em>Ann. Mus. Civ. St. Nat. Genova.</em> 64: 30-42, 1 pl.","Tortonese, E.",1949,Echinodermi della Somalia Italiana,,Ann. Mus. Civ. St. Nat. Genova,,,,,,,"64: 30-42, 1 pl"
"Levander, K.M. (1894). Materialien zur Kenntniss der Wasserfauna in der Umgebung von Helsingfors, mit besonderer Berücksichtigung der Meeresfauna. II. Rotatoria. <em>Acta Societatis pro Fauna et Flora Fennica.</em> 12: 1-72, pl.1-3.","Levander, K.M.",1894,"Materialien zur Kenntniss der Wasserfauna in der Umgebung von Helsingfors, mit besonderer Berücksichtigung der Meeresfauna. II. Rotatoria",,Acta Societatis pro Fauna et Flora Fennica,,,,,,,"12: 1-72, pl.1-3"
"Salman, A.; Katagan, T.; Boletzky, S. (1999). New Cephalopod molluscs in the eastern Mediterranean: previously unnoted species or recent migrants?. <em>Vie et Milieu.</em> 49: 11-17.","Salman, A.; Katagan, T.; Boletzky, S.",1999,New Cephalopod molluscs in the eastern Mediterranean: previously unnoted species or recent migrants?,,Vie et Milieu,,,,,,,49: 11-17
"Volckaert, F.A.M.J.; Huyse, T.; Geets, A. (2001). A preliminary check list of infectious eukaryotes (parasites) of fishes from the Belgian Continental Shelf. <em>In: Cattrijsse, A.; Vincx, M. (2001). Biodiversity of the benthos and the avifauna of the Belgian coastal waters: summary of data collected between 1970 and 1998.</em> pp. 35-36.","Volckaert, F.A.M.J.; Huyse, T.; Geets, A.",2001,A preliminary check list of infectious eukaryotes (parasites) of fishes from the Belgian Continental Shelf,,"In: Cattrijsse, A.; Vincx, M. (2001). Biodiversity of the benthos and the avifauna of the Belgian coastal waters: summary of data collected between 1970 and 1998",,,,,,,pp. 35-36
"Huys, R. & P. Bodin. (1997). First record of Acanthocephala in marine copepods. <em>Ophelia.</em> 46(3): 217-231.","Huys, R. & P. Bodin",1997,First record of Acanthocephala in marine copepods.,,Ophelia,,,,,,,46(3): 217-231
"Van Soest, R.W.M. (1998). A new sponge <i>Desmapsamma vervoorti</i> spec. nov. (Poeciloslerida: Desmacididae) from Indonesia. <em>Zoologische Verhandelingen Leiden.</em> 323: 427-434.","Van Soest, R.W.M.",1998,A new sponge <i>Desmapsamma vervoorti</i> spec. nov. (Poeciloslerida: Desmacididae) from Indonesia,,Zoologische Verhandelingen Leiden,,,,,,,323: 427-434
"d'Udekem d'Acoz, C. (1999). Inventory and distribution of the decapod crustaceans from the northeastern Atlantic, the Mediterranean and the adjacent continental waters north of 25°N. <em>Collection Patrimoines Naturels, 40. Muséum national d'Histoire naturelle.</em> Paris. ISBN 2-86515-114-10. X, 383 pp.","d'Udekem d'Acoz, C.",1999,"Inventory and distribution of the decapod crustaceans from the northeastern Atlantic, the Mediterranean and the adjacent continental waters north of 25°N",,"Collection Patrimoines Naturels, 40. Muséum national d'Histoire naturelle",,,,,,,"Paris. ISBN 2-86515-114-10. X, 383 pp"
"Sars, G.O. (1905). Copepoda Harpacticoida. Parts VII & VIII. Idyidae (continued), Thalestridae (part). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum.</em> 5:81-108, pls. 49-64.","Sars, G.O.",1905,"Copepoda Harpacticoida. Parts VII & VIII. Idyidae (continued), Thalestridae (part).",,"An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum.",,,,,,,"5:81-108, pls. 49-64."
"Ali, M.A. (1956). Additions to the sponge fauna of Madras. <em>Journal of the Madras University, Section B.</em> 26 (2): 289-301.","Ali, M.A.",1956,Additions to the sponge fauna of Madras.,,"Journal of the Madras University, Section B",,,,,,,26 (2): 289-301
"Tabachnick, K.R.; Lévi, C. (2004). Lyssacinosida du Pacifique sud-ouest (Porifera: Hexactinellida).<i> in</i>: Marshall, B.A. & Richer de Forges, B. (Eds) Tropical Deep-Sea Benthos 23. <em>Mémoires du Muséum national d'Histoire naturelle.</em> 191: 11-71.","Tabachnick, K.R.; Lévi, C.",2004,"Lyssacinosida du Pacifique sud-ouest (Porifera: Hexactinellida).<i> in</i>: Marshall, B.A. & Richer de Forges, B. (Eds) Tropical Deep-Sea Benthos 23.",,Mémoires du Muséum national d'Histoire naturelle,,,,,,,191: 11-71
"Cipolla, F. (1921). I Briozoi Pliocenici di Altavilla presso Palermo. <em>Giorn. Soc. Sci. Nat. ed Econ. Palermo.</em> 32: 185pp.","Cipolla, F.",1921,I Briozoi Pliocenici di Altavilla presso Palermo,,Giorn. Soc. Sci. Nat. ed Econ. Palermo,,,,,,,32: 185pp.
"Gourbault, N.; Vincx, M. (1985). Deux espèces nouvelles d'Ironidae marins; observations sur les spermatozoïdes flagellés des Nématodes. <em>Bull. Mus. natn. Hist. nat.</em> 4 (7) section A (1): 109-118.","Gourbault, N.; Vincx, M.",1985,Deux espèces nouvelles d'Ironidae marins; observations sur les spermatozoïdes flagellés des Nématodes,,Bull. Mus. natn. Hist. nat.,,,,,,,4 (7) section A (1): 109-118
"Macpherson, E. (1996). Crustacea Decapoda: New records of species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from New Caledonia, with the descriptions of three new species. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 423-431.","Macpherson, E.",1996,"Crustacea Decapoda: New records of species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from New Caledonia, with the descriptions of three new species",,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,168: 423-431
"Dautzenberg P. & Fischer H. (1912). Mollusques provenant des campagnes de l'Hirondelle et de la Princesse-Alice dans les Mers du Nord. <em>Résultats des Campagnes Scientifiques Accomplies sur son Yacht par Albert Ier Prince Souverain de Monaco.</em> 37: 1-629, 11 plates.",Dautzenberg P. & Fischer H.,1912,Mollusques provenant des campagnes de l'Hirondelle et de la Princesse-Alice dans les Mers du Nord,,Résultats des Campagnes Scientifiques Accomplies sur son Yacht par Albert Ier Prince Souverain de Monaco,,,,,,,"37: 1-629, 11 plates."
"Sars, G.O. (1909). Report on the Copepoda. <em>Zoological Results of the Third Tanganyika Expedition, conducted by Dr. W.A. Cunnington, F.Z.S., 1904-1905. Proceedings of the Zoological Society of London.</em> 1909:31-77, pls. 6-23.","Sars, G.O.",1909,Report on the Copepoda.,,"Zoological Results of the Third Tanganyika Expedition, conducted by Dr. W.A. Cunnington, F.Z.S., 1904-1905. Proceedings of the Zoological Society of London",,,,,,,"1909:31-77, pls. 6-23."
"Macpherson, E. (1990). Crustacea Decapoda: On a collection of Nephropidae from the Indian Ocean and Western Pacific. in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. <em>Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 145: 289-329.","Macpherson, E.",1990,"Crustacea Decapoda: On a collection of Nephropidae from the Indian Ocean and Western Pacific. in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6.",,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,,,,,145: 289-329
"Karling, T. G. (1956). Zur Kenntnis einiger Gnathorhynchiden nebst Beschreibung einer neuen Gattung. <em>Arkiv för Zoologi.</em> 9: 343-353.","Karling, T. G.",1956,Zur Kenntnis einiger Gnathorhynchiden nebst Beschreibung einer neuen Gattung.,,Arkiv för Zoologi,,,,,,,9: 343-353
"Vasseur, P. (1969). Deuxième contribution à l'étude des Ascidies de Madagascar région de Tuléar. <em>Bulletin du Museum national d'Histoire naturelle, Paris.</em> 40 (5): 912-933.","Vasseur, P.",1969,Deuxième contribution à l'étude des Ascidies de Madagascar région de Tuléar.,,"Bulletin du Museum national d'Histoire naturelle, Paris",,,,,,,40 (5): 912-933
"Sars, G. O. (1872). Undersøgelser over Hardangerfjordens fauna I. <em>Förhadlingar i Videnskabsselskabet i Christiania.</em> 1871: 246-286.","Sars, G. O.",1872,Undersøgelser over Hardangerfjordens fauna I,,Förhadlingar i Videnskabsselskabet i Christiania,,,,,,,1871: 246-286
"Esteves, E.L.; Muricy, G. (2005). A new species of <i>Stelletta</i> (Demospongiae, Astrophorida) without microscleres from Abrolhos Archipelago, Northeastern Brazil. <em>Zootaxa.</em> 1006: 43-52.","Esteves, E.L.; Muricy, G.",2005,"A new species of <i>Stelletta</i> (Demospongiae, Astrophorida) without microscleres from Abrolhos Archipelago, Northeastern Brazil",,Zootaxa,,,,,,,1006: 43-52
"Aleem, A.A. (1950). Some new records of marine Algae from the Mediterranean Sea. With reference to their geographical distribution. <em>Acta Horti Gothoburgensis. Meddelanden Fran Goteborgs Botaniska Tradgard.</em> 18, 275-288.","Aleem, A.A.",1950,Some new records of marine Algae from the Mediterranean Sea. With reference to their geographical distribution.,,Acta Horti Gothoburgensis. Meddelanden Fran Goteborgs Botaniska Tradgard,,,,,,,"18, 275-288"
"Musco, Luigi; Giangrande, Adriana. (2005). A new sponge-associated species, <i>Syllis mayeri</i> n. sp. (Polychaeta: Syllidae), with a discussion on the status of <i>S. armillaris</i> (Müller, 1776). <i>Scientia Marina</i>. 69(4): 467-474.","Musco, Luigi; Giangrande, Adriana",2005,"A new sponge-associated species, <i>Syllis mayeri</i> n. sp. (Polychaeta: Syllidae), with a discussion on the status of <i>S. armillaris</i> (Müller, 1776)",,Scientia Marina,,,,,,,69(4): 467-474
"Volkmer-Ribeiro, C.; Costa, P.R.C. (1993). Redescription of the Oriental and Australian species of the genus <i>Metania</i> Gray, 1867 (Porifera: Metaniidae). <em>Iheringia. Série Zoologia.</em> 74: 81-101.","Volkmer-Ribeiro, C.; Costa, P.R.C.",1993,"Redescription of the Oriental and Australian species of the genus <i>Metania</i> Gray, 1867 (Porifera: Metaniidae).",,Iheringia. Série Zoologia,,,,,,,74: 81-101
"Rayss, T. (1963). Sur la présence dans la Méditerranée orientale des algues tropicales de la famille des Solieriacées. <em>Acta Botanica Horti Bucurestiensis.</em> 1: 91-106.","Rayss, T.",1963,Sur la présence dans la Méditerranée orientale des algues tropicales de la famille des Solieriacées,,Acta Botanica Horti Bucurestiensis,,,,,,,1: 91-106
"de Man, J. G. (1876). Contribution à la connaissance des Nématodes marins du Golf de Naples. <em>Tijdschrift der Nederlandsche Dierkundige Vereeniging.</em> 3: 88-118.","de Man, J. G.",1876,Contribution à la connaissance des Nématodes marins du Golf de Naples,,Tijdschrift der Nederlandsche Dierkundige Vereeniging,,,,,,,3: 88-118
"Huys, R. (1989). Dicrotrichura tricincta gen. et spec. nov.: a new tantulucaridan (Crustacea: Maxillopoda) from the Mediterranean deep waters off Corsica. Bijdragen tot de Dierkunde 59(4):243-249. (French summary.)","Huys, R.",1989,Dicrotrichura tricincta gen. et spec. nov.: a new tantulucaridan (Crustacea: Maxillopoda) from the Mediterranean deep waters off Corsica.,,Bijdragen tot de Dierkunde,,,,,,,59(4):243-249. (French summary.)
