String,Authors,Year,Title,Series,Suffix,DOI
"Huys, R. (1990). Adenopleurella, new genus, Proceropes, new genus, Sarsocletodes Wilson (ex Laophontidae), and Miroslavia Apostolov (ex Cletodidae): representatives of a new family (Copepoda: Harpacticoida). Journal of Crustacean Biology 10(2):340-363, figs. 1-13.","Huys, R.",1990,"Adenopleurella, new genus, Proceropes, new genus, Sarsocletodes Wilson (ex Laophontidae), and Miroslavia Apostolov (ex Cletodidae): representatives of a new family (Copepoda: Harpacticoida).",Journal of Crustacean Biology,"10(2):340-363, figs. 1-13.",
"Garcia-Raso, J. E. (1993). New record of another African species of Crustacea Decapoda, <i>Cycloes cristata</i> (Brulle) from European and Mediterranean waters. <em>Bios.</em> 1: 215-221.","Garcia-Raso, J. E.",1993,"New record of another African species of Crustacea Decapoda, <i>Cycloes cristata</i> (Brulle) from European and Mediterranean waters",Bios,1: 215-221,
"Sars, M. (1862). Beskrivelse over Lophogaster typicus, en maerkvaerdig form af de lavere tiføddede Krebsdyr. <em>Zool. Trans. Christiania.</em> vol. M: l-iv, 1-37, 3 pls.","Sars, M.",1862,"Beskrivelse over Lophogaster typicus, en maerkvaerdig form af de lavere tiføddede Krebsdyr",Zool. Trans. Christiania,"vol. M: l-iv, 1-37, 3 pls",
"Scapolatempo, M.; Solustri, C.; Sabelli, B. (2003). <i>Amathina tricarinata</i> (Linnaeus, 1767) (Orthogastropoda, Heterobranchia, Amathinidae): una nuova specie esotica in Mediterraneo. <em>Biologia Marina Mediterranea.</em> 10(2): 614-617.","Scapolatempo, M.; Solustri, C.; Sabelli, B.",2003,"<i>Amathina tricarinata</i> (Linnaeus, 1767) (Orthogastropoda, Heterobranchia, Amathinidae): una nuova specie esotica in Mediterraneo",Biologia Marina Mediterranea,10(2): 614-617,
"Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M. (1997). <i>Delectona madreporica</i> n. sp. (Porifera, Demospongiae) boring the corallites of some scleractinians from the Ligurian Sea. <em>Italian Journal of Zoology [Monitore Zoologico Italiano].</em> 64: 273-277.","Bavestrello, G.; Calcinai, B.; Cerrano, C.; Sarà, M.",1997,"<i>Delectona madreporica</i> n. sp. (Porifera, Demospongiae) boring the corallites of some scleractinians from the Ligurian Sea.",Italian Journal of Zoology [Monitore Zoologico Italiano],64: 273-277.,
"Laubitz, D. R. (1991). Crustacea Amphipoda Caprellidea : Caprellids from the western Pacific(New Caledonia, Indonesia and the Philippines). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152, 101-123.","Laubitz, D. R.",1991,"Crustacea Amphipoda Caprellidea : Caprellids from the western Pacific(New Caledonia, Indonesia and the Philippines)","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","152, 101-123",
"Bliding, C. (1948). <i>Enteromorpha kylini</i>, eine neue Art aus der schwedischen Westküste. Kungl. <em>Fysiografiska Sällskapets i Lund Förhandlingar.</em> 18: 199-204 (6 as separate paper).","Bliding, C.",1948,"<i>Enteromorpha kylini</i>, eine neue Art aus der schwedischen Westküste. Kungl",Fysiografiska Sällskapets i Lund Förhandlingar,18: 199-204 (6 as separate paper),
"Adam, W.; Leloup, E. (1937). Sur la présence de <i>Helicella virgata</i> (Da Costa) et <i>Theba pisana</i> (Muller) en Belgique [On the presence of <i>Helicella virgata</i> (Da Costa) and <i>Theba pisana</i> in Belgium]. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 13(10): 1-8.","Adam, W.; Leloup, E.",1937,Sur la présence de <i>Helicella virgata</i> (Da Costa) et <i>Theba pisana</i> (Muller) en Belgique [On the presence of <i>Helicella virgata</i> (Da Costa) and <i>Theba pisana</i> in Belgium],Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,13(10): 1-8,
"Chen, H. (1985). Decapod Crustacea: Dorippidae. <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 179-203.","Chen, H.",1985,Decapod Crustacea: Dorippidae,"in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",133: 179-203,
"Sciberras, M.; Schembri, P. (2007). A Critical Review Of Records Of Alien Marine Species From The Maltese Islands And Surrounding Waters (Central Mediterranean). <em>Mediterranean Marine Science.</em> 8(1): 41-66.","Sciberras, M.; Schembri, P.",2007,A Critical Review Of Records Of Alien Marine Species From The Maltese Islands And Surrounding Waters (Central Mediterranean).,Mediterranean Marine Science,8(1): 41-66,
"Bergquist, P.R.; Hogg, J.J. (1969). Free amino acid patterns in demospongiae: a biochemical approach to sponge classification. <em>Cahiers de Biologie Marine.</em> 10 (2): 205-220, 1 plate.","Bergquist, P.R.; Hogg, J.J.",1969,Free amino acid patterns in demospongiae: a biochemical approach to sponge classification,Cahiers de Biologie Marine,"10 (2): 205-220, 1 plate",
"Bartsch, I. (1991). Taxonomic notes on halacarids (Acari) from the Skagerrak area. <em>Helgol. Meeresunters.</em> 45: 97-106.","Bartsch, I.",1991,Taxonomic notes on halacarids (Acari) from the Skagerrak area,Helgol. Meeresunters.,45: 97-106,
"Beneden, P.J. van. (1852). Note sur un nouveau genre de Crustacé parasite de la famille des Peltocéphales. <em>Bulletin de l'Académie Royale de Belgique.</em> 19(3):462-467, pl. 1.","Beneden, P.J. van",1852,Note sur un nouveau genre de Crustacé parasite de la famille des Peltocéphales.,Bulletin de l'Académie Royale de Belgique,"19(3):462-467, pl. 1.",
"Karrer, C. (1986). Occurrence of the Barrelfish, <i>Hyperoglyphe perciformis</i> (Teleostei, Perciformes, Stromateoidei) in the Mediterranean Sea and off Portugal. <em>Cybium.</em> 10: 77-83.","Karrer, C.",1986,"Occurrence of the Barrelfish, <i>Hyperoglyphe perciformis</i> (Teleostei, Perciformes, Stromateoidei) in the Mediterranean Sea and off Portugal.",Cybium,10: 77-83,
"Ben-Tuvia, A. (1953). Mediterranean fishes of Israel. <em>Bulletin of the Sea Fisheries Research Station, Haifa.</em> 8: 1-40.","Ben-Tuvia, A.",1953,Mediterranean fishes of Israel,"Bulletin of the Sea Fisheries Research Station, Haifa",8: 1-40,
"Decraemer, W.; Coomans, A. (1978). Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island. <em>Aust. J. Mar. Freshwater Res.</em> 29, 497-508.","Decraemer, W.; Coomans, A.",1978,Scientific Report on the Belgian Expedition to The Great Barrier Reef in 1967. Nematodes XII. Ecological Notes on the Nematode Fauna in and around Mangroves on Lizard Island,Aust. J. Mar. Freshwater Res.,"29, 497-508",10.1071/MF9780497
"Forest, J. (1981). Post-scriptum à propos de la campagne MUSORSTOM II. <em>in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: 557-558.","Forest, J.",1981,Post-scriptum à propos de la campagne MUSORSTOM II,"in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: 557-558,
"Klie, W. (1929). Beitrag zur Kenntnis der Ostracoden der südlichen und westlichen Ostsee, der festländischen Nordseeküste und der Insel Helgoland. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 134 (2-3), 270-306.","Klie, W",1929,"Beitrag zur Kenntnis der Ostracoden der südlichen und westlichen Ostsee, der festländischen Nordseeküste und der Insel Helgoland",Zeitschrift für wissenschaftliche Zoologie,"134 (2-3), 270-306",
"Schmeil, O. (1893). Deutschlands freilebende Süsswasser-Copepoden. II. Harpacticidae. Bibliotheca Zoologica, Stuttgart 5(15):1-101, figs. 1-2, pls. 1-8.","Schmeil, O.",1893,Deutschlands freilebende Süsswasser-Copepoden. II. Harpacticidae.,"Bibliotheca Zoologica, Stuttgart","5(15):1-101, figs. 1-2, pls. 1-8.",
"Rothman, S.; Mienis, H. (2011). <i>Smaragdia souverbiana</i>: not only the first record from Israel, but also the oldest record from the Mediterranean Sea (Gastropoda, Neritidae). <em>Triton.</em> 24: 9-10.","Rothman, S.; Mienis, H.",2011,"<i>Smaragdia souverbiana</i>: not only the first record from Israel, but also the oldest record from the Mediterranean Sea (Gastropoda, Neritidae).",Triton,24: 9-10,
"Skuja, H. (1948). Taxonomie des Phytoplanktons einiger Seen in Uppland, Schweden. <em>Symbolae Botanicae Upsalienses.</em> 9(3): 1-399.","Skuja, H.",1948,"Taxonomie des Phytoplanktons einiger Seen in Uppland, Schweden.",Symbolae Botanicae Upsalienses,9(3): 1-399.,
"Harmelin, J.-G. (1964). Etude de l'endofaune des ""mattes"" d'herbiers de <i>Posidonia oceanica</i> Delile [Research on the endofauna of <i>Posidonia oceanica</i> Delile mats]. <em>Recueil des Travaux de la Station Marine d'Endoume.</em> 35(51): 43-105.","Harmelin, J.-G.",1964,"Etude de l'endofaune des ""mattes"" d'herbiers de <i>Posidonia oceanica</i> Delile [Research on the endofauna of <i>Posidonia oceanica</i> Delile mats]",Recueil des Travaux de la Station Marine d’Endoume,35(51): 43-105,
"Leloup, E. (1981). Mollusques: Polyplacophores. In: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976). <em>Mémoires ORSTOM.</em> 91: 317-323.","Leloup, E.",1981,"Mollusques: Polyplacophores. In: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976).",Mémoires ORSTOM,91: 317-323,
"d'Udekem d'Acoz, C. (1991). Quelques données sur Anguinella palmata van Beneden, 1845 et sa faune associée en Belgique (Bryozoa, Ctenostoma: Nolellidae). <em>De Strandvlo.</em> 11(2): 57.","d'Udekem d'Acoz, C.",1991,"Quelques données sur Anguinella palmata van Beneden, 1845 et sa faune associée en Belgique (Bryozoa, Ctenostoma: Nolellidae)",De Strandvlo,11(2): 57,
"Ahn, K. (2006). Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae). The Coleopterists Bulletin. 60(1): 36-36.","Ahn, K.",2006,Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae),The Coleopterists Bulletin,60(1): 36-36,10.1649/878.1
"Maruyama, M.; Ahn, K. (2000). Redescription of Liparocephalus litoralis, and key to the species of Liparocephalus (Coleoptera: Staphylinidae: Aleocharinae). Can. Entomol. 132(5): 567-571.","Maruyama, M.; Ahn, K.",2000,"Redescription of Liparocephalus litoralis, and key to the species of Liparocephalus (Coleoptera: Staphylinidae: Aleocharinae)",Can. Entomol,132(5): 567-571,10.4039/ent132567-5
"Gourbault, N.; Vincx, M. (1985). Nématodes abyssaux (Campagne Walda du N/O ""Jean Charcot""). VI. Le genre Acantholaimus: espèces nouvelles et étude de l'appareil reproducteur à spermatozoïdes géants. <em>Bull. Mus. natn. Hist. nat., Paris.</em> 4 (7) section A (3): 611-632.","Gourbault, N.; Vincx, M.",1985,"Nématodes abyssaux (Campagne Walda du N/O ""Jean Charcot""). VI. Le genre Acantholaimus: espèces nouvelles et étude de l'appareil reproducteur à spermatozoïdes géants","Bull. Mus. natn. Hist. nat., Paris",4 (7) section A (3): 611-632,
"Galil, B. S.; Pisanty, S.; Spanier, E.; Tom, M. (1989). The Indo-Pacific lobster <i>Panulirus ornatus</i> (Fabricius, 1798) (Crustacea: Decapoda): a new Lessepsian migrant to the eastern Mediterranean. <em>Israel Journal of Zoology.</em> 35(4): 241-243.","Galil, B. S.; Pisanty, S.; Spanier, E.; Tom, M.",1989,"The Indo-Pacific lobster <i>Panulirus ornatus</i> (Fabricius, 1798) (Crustacea: Decapoda): a new Lessepsian migrant to the eastern Mediterranean",Israel Journal of Zoology,35(4): 241-243,
"Verschelde, D.; Muthumbi, A.; Vincx, M. (1995). Papillonema danieli gen. et sp. n. and Papillonema clavatum (Gerlach, 1957) comb. n. (Nematoda, Desmodoridae) from the Ceriops mangrove sediments of Gazi Bay, Kenya. <em>Hydrobiologia.</em> 316: 225-237.","Verschelde, D.; Muthumbi, A.; Vincx, M.",1995,"Papillonema danieli gen. et sp. n. and Papillonema clavatum (Gerlach, 1957) comb. n. (Nematoda, Desmodoridae) from the Ceriops mangrove sediments of Gazi Bay, Kenya",Hydrobiologia,316: 225-237,
"Broch, H. (1927). Studies on Moroccan Cirripeds (Atlantic Coast). <em>Bul. Soc. Sci. Nat. Maroc.</em> 11-38 4 pls 10 text-figs.","Broch, H.",1927,Studies on Moroccan Cirripeds (Atlantic Coast),Bul. Soc. Sci. Nat. Maroc,11-38 4 pls 10 text-figs,
"Platt, H. M.; Ball, B. J. (1997). Nematoda. <em>In: Howson, C.M. et al. (Ed.) (1997). The species directory of the marine fauna and flora of the British Isles and surrounding seas. Ulster Museum Publication.</em> 276: pp. 69-82.","Platt, H. M.; Ball, B. J.",1997,Nematoda,"In: Howson, C.M. et al. (Ed.) (1997). The species directory of the marine fauna and flora of the British Isles and surrounding seas. Ulster Museum Publication",276: pp. 69-82,
"Lyle, L. (1922). Antithamnionella, a new genus of algae. <em>Journal of Botany : British and foreign. Taylor & Co: London.</em> 60(6): 346-350.","Lyle, L.",1922,"Antithamnionella, a new genus of algae",Journal of Botany : British and foreign. Taylor & Co: London,60(6): 346-350,
Dautzenberg P. & Fischer H. (1897). Dragages effectués par l'Hirondelle et par la Princesse Alice 1888-1896. <em>Mémoires de la Société Zoologique de France.</em> 10: 139-234;  pl. 3-7.,Dautzenberg P. & Fischer H.,1897,Dragages effectués par l'Hirondelle et par la Princesse Alice 1888-1896,Mémoires de la Société Zoologique de France,10: 139-234;  pl. 3-7,
"Benwell, M. P. (1981). A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae). <em>Cahiers de Biologie Marine.</em> 22: 177-183.","Benwell, M. P.",1981,"A New Species of Gonionchus (Nematoda: Xyalidae) from the Firth of Clyde, with a Redescription of Enoploides spiculohamatus Schulz (Nematoda: Enoplidae)",Cahiers de Biologie Marine,22: 177-183,
"Galil, B.S. (2005). Contribution to the knowledge of Leucosiida III. Urnalana gen. nov. (Crustacea: Brachyura). <em>Zoologische Mededelingen.</em> 79(2): 9-40.","Galil, B.S.",2005,Contribution to the knowledge of Leucosiida III. Urnalana gen. nov. (Crustacea: Brachyura),Zoologische Mededelingen,79(2): 9-40,
"Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M. (2002). Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea). <em>Journal of Sea Research.</em> 47(2): 121-139.","Dewicke, A.; Rottiers, V.; Mees, J.; Vincx, M.",2002,Evidence for an enriched hyperbenthic fauna in the Frisian front (North Sea),Journal of Sea Research,47(2): 121-139,10.1016/s1385-1101(02)00106-5
"Williams, G.C.; van der Land, J. (2001). Octocorallia - Pennatulacea. <em>in: Costello, M.J. et al. (Ed.) (2001). European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification.</em> Collection Patrimoines Naturels 50: pp. 105-106.","Williams, G.C.; van der Land, J.",2001,Octocorallia - Pennatulacea,"in: Costello, M.J. et al. (Ed.) (2001). European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification",Collection Patrimoines Naturels 50: pp. 105-106,
"Yokes, B.; Rudman, W. B. (2004). Lessepsian opisthobranchs from southwestern coast of Turkey; five new records for Mediterranean. Rapport de la Commission Internationale Exploration de la Mer Mediterranee. 37: 557.","Yokes, B.; Rudman, W. B.",2004,Lessepsian opisthobranchs from southwestern coast of Turkey; five new records for Mediterranean,Rapport de la Commission Internationale Exploration de la Mer Mediterranee,46:17:00,
"Sharma, J.; Vincx, M. (1982). Cyatholaimidae (Nematoda) from the Canadian Pacific coast. <em>Can. J. Zool.</em> 60: 271-280.","Sharma, J.; Vincx, M.",1982,Cyatholaimidae (Nematoda) from the Canadian Pacific coast,Can. J. Zool,60: 271-280,
"Müller, O.F. (1776). <em>Zoologiæ Danicæ Prodromus, seu Animalium Daniæ et Norvegiæ indigenarum characteres, nomina, et synonyma imprimis popularium.</em> Havniæ [Copenhagen]: Hallageri. xxxii + 274 pp.","Müller, O.F.",1776,"<em>Zoologiæ Danicæ Prodromus, seu Animalium Daniæ et Norvegiæ indigenarum characteres, nomina, et synonyma imprimis popularium.</em> Havniæ [Copenhagen]: Hallageri","Zoologiae Danicae prodromus, seu animalium Daniae et Norvegiae indigenarum characteres, nomina, et synonymy imprimis popularium.",xxxii + 274 pp.,10.5962/bhl.title.13268
"Bellan-Santini, D.; Karaman, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Vader, W. (1998). The Amphipoda of the Mediterranean. Part 4: Localities and Map, Addenda to Parts 1-3, Key to Families, Ecology, Faunistics and Zoogeography, Bibliography, Index. <em>Mémoires de l'Institut océanographique, Monaco.</em> 13: 1-959.","Bellan-Santini, D.; Karaman, G.; Ledoyer, M.; Myers, A.A.; Ruffo, S.; Vader, W.",1998,"The Amphipoda of the Mediterranean. Part 4: Localities and Map, Addenda to Parts 1-3, Key to Families, Ecology, Faunistics and Zoogeography, Bibliography, Index.","Mémoires de l'Institut océanographique, Monaco",13: 1-959,
"Decraemer, W. (1975). Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island. <em>Cahiers de Biologie Marine.</em> 16: 269-284.","Decraemer, W.",1975,"Scientific Report on the Belgian expedition to the Great Barrier reef in 1967. Nematodes III : further study of desmoscolex - species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island",Cahiers de Biologie Marine,16: 269-284,
